file            format  type  num_seqs      sum_len  min_len  avg_len  max_len
PN5CE.m500.fa  FASTA   DNA    340,044  679,874,598      500  1,999.4  609,448
PN5CF.m500.fa  FASTA   DNA    377,114  758,571,866      500  2,011.5  426,711
PN5CG.m500.fa  FASTA   DNA    353,886  720,200,211      500  2,035.1  545,791
PN5CH.m500.fa  FASTA   DNA     33,154  71,777,574      500    2,165  380,166
PN5DB.m500.fa  FASTA   DNA      9,412  9,766,903      500  1,037.7   40,946
PN5DA.m500.fa  FASTA   DNA      9,228  7,234,311      500      784   18,508
PN5DC.m500.fa  FASTA   DNA     15,153  14,580,508      500    962.2   34,091
PN5DD.m500.fa  FASTA   DNA     55,402  106,780,963      500  1,927.4  1,122,430
PN5DF.m500.fa  FASTA   DNA      7,284  6,008,322      500    824.9   23,315
PN5DE.m500.fa  FASTA   DNA     17,864  25,659,136      500  1,436.4  255,222
PN5DG.m500.fa  FASTA   DNA     15,226  13,174,816      500    865.3   14,280
PN5DH.m500.fa  FASTA   DNA     29,432  58,355,590      500  1,982.7  387,594
PN5GA.m500.fa  FASTA   DNA    217,071  282,540,260      500  1,301.6  177,498
PN5GB.m500.fa  FASTA   DNA    149,709  179,829,582      500  1,201.2  230,697
PN5GC.m500.fa  FASTA   DNA    130,765  180,488,254      500  1,380.2  236,843
PN5GD.m500.fa  FASTA   DNA    229,085  322,969,249      500  1,409.8  213,501
PN5GF.m500.fa  FASTA   DNA    191,799  264,628,638      500  1,379.7  213,361
PN5GE.m500.fa  FASTA   DNA    180,731  223,550,145      500  1,236.9  177,025
PN5GH.m500.fa  FASTA   DNA    199,110  261,411,314      500  1,312.9  464,575
PN5GG.m500.fa  FASTA   DNA    262,404  348,965,693      500  1,329.9  236,841
PN5IA.m500.fa  FASTA   DNA    145,053  258,513,029      500  1,782.2  380,085
PN5IC.m500.fa  FASTA   DNA     29,602  75,434,022      500  2,548.3  378,069
PN5ID.m500.fa  FASTA   DNA     20,842  54,807,362      500  2,629.7  380,084
PN5IB.m500.fa  FASTA   DNA    124,849  203,685,482      500  1,631.5  359,666
PN5IF.m500.fa  FASTA   DNA     30,712  69,918,016      500  2,276.6  378,147
PN5IE.m500.fa  FASTA   DNA    162,434  330,077,794      500  2,032.1  609,452
PN5IG.m500.fa  FASTA   DNA     28,701  73,365,375      500  2,556.2  380,135
PN5JA.m500.fa  FASTA   DNA    147,420  170,446,319      500  1,156.2  380,131
PN5IH.m500.fa  FASTA   DNA    110,968  180,004,790      500  1,622.1  462,520
PN5JB.m500.fa  FASTA   DNA     48,598  83,262,264      500  1,713.3  276,656
