DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN11RL.vae.9447	4.69041576
PN6RE.vae.2948	4.69041576
PN7RF.vae.31801	4.69041576
PN9RB.vae.9726	4.69041576
PN5CB.bin.135	4.582575695
PN5RB.bin.45	4.582575695
PN16RP.bin.77	4.582575695
PN5CG.vae.103980	4.582575695
PN11RF.vae.5164	4.582575695
PN5LF.vae.3446	4.582575695
PN6RS.bin.39	4.582575695
PN10RK.vae.116728	4.582575695
PN9RO.vae.4921	4.582575695
PN10RH.vae.91881	4.582575695
PN16RO.vae.4631	4.582575695
PN5CA.vae.9799	4.472135955
PN3RB.bin.162	4.472135955
PN10RA.bin.28	4.472135955
PN5RH.vae.7584	4.472135955
PN15RO.vae.4522	4.472135955
PN7RV.vae.8510	4.472135955
PN9RP.bin.88	4.472135955
PN13RF.bin.37	4.472135955
PN10RO.vae.58256	4.472135955
PN5RB.vae.19792	4.358898944
PN10RD.vae.2040	4.358898944
PN2RF.vae.1663	4.358898944
PN2RH.vae.55240	4.358898944
PN3RB.vae.7224	4.358898944
PN3RA.vae.55291	4.358898944
PN3CH.vae.25040	4.358898944
PN14RT.bin.36	4.358898944
PN5RC.bin.153	4.358898944
PN3RB.vae.4609	4.242640687
PN16RT.vae.14827	4.242640687
PN14RI.vae.60161	4.242640687
PN5JD.vae.8928	4.242640687
PN5LC.vae.3858	4.242640687
PN1CD.bin.25	4.242640687
PN1RL.vae.827	4.242640687
PN5LC.vae.8673	4.242640687
PN5RB.vae.17155	4.242640687
PN1CI.vae.12654	4.242640687
PN6RN.vae.7756	4.242640687
PN7RI.vae.5076	4.242640687
PN16RE.bin.65	4.242640687
PN3RA.bin.222	4.242640687
J1119	4.123105626
PN9RK.vae.11445	4.123105626
PN15RA.bin.108	4.123105626
PN16RO.vae.3839	4.123105626
PN5CF.vae.42018	4.123105626
PN5RE.bin.328	4.123105626
PN5RA.bin.273	4.123105626
PN1LF.bin.6	4.123105626
PN7RN.vae.96553	4.123105626
PN6RG.vae.12596	4.123105626
PN9RF.vae.4481	4.123105626
PN10RH.vae.44457	4.123105626
PN11RO.bin.34	4.123105626
PN8RF.vae.6268	4.123105626
PN11RK.bin.56	4
PN10RL.bin.182	4
PN7RT.vae.8749	4
PN15RI.bin.107	4
PN11RG.vae.37198	4
PN3CD.vae.51794	4
PN11RF.vae.43843	4
PN5JD.bin.136	4
PN8RF.vae.9958	4
PN10RD.vae.68802	4
PN1LH.vae.121437	4
PN5RA.bin.5	4
PN14RP.bin.7	4
PN8RO.vae.2175	4
PN7RM.vae.3041	4
PN11RM.vae.229	3.872983346
PN14RO.vae.77412	3.872983346
PN3RD.vae.5534	3.872983346
PN5RC.vae.4441	3.872983346
PN14RQ.vae.4682	3.872983346
PN6RC.vae.3581	3.872983346
PN7RG.vae.7305	3.872983346
PN6RJ.vae.156555	3.872983346
PN5RE.vae.85259	3.872983346
PN1LL.vae.7969	3.872983346
PN2CC.vae.10734	3.872983346
PN11RK.vae.3461	3.872983346
PN14RD.vae.79669	3.872983346
PN5RA.vae.14566	3.872983346
PN6RH.bin.111	3.872983346
PN5RF.vae.140329	3.872983346
PN7RR.vae.10001	3.872983346
PN2CE.bin.19	3.872983346
PN11RD.vae.10428	3.872983346
PN7RS.vae.865	3.872983346
PN6RT.bin.37	3.872983346
PN15RB.vae.74864	3.872983346
PN7RT.vae.15252	3.872983346
PN6RJ.bin.101	3.872983346
PN1CK.bin.25	3.872983346
PN2CB.bin.43	3.872983346
PN14RN.vae.22034	3.872983346
PN7RP.vae.39721	3.872983346
PN5GB.bin.6	3.741657387
PN10RL.vae.4516	3.741657387
PN5GE.bin.22	3.741657387
PN1RL.vae.3552	3.741657387
PN2GJ.vae.6147	3.741657387
PN8RC.bin.14	3.741657387
PN16RD.vae.6276	3.741657387
PN5JD.vae.18609	3.741657387
PN6RP.vae.45411	3.741657387
PN13RR.vae.45074	3.741657387
PN13RM.vae.18568	3.741657387
PN11RN.vae.1026	3.741657387
PN16RR.vae.132844	3.741657387
PN8RE.bin.60	3.741657387
PN13RN.bin.123	3.741657387
PN12RH.vae.13126	3.741657387
PN11RG.vae.40958	3.741657387
PN10RR.bin.138	3.741657387
PN12RJ.bin.184	3.741657387
PN16RB.bin.208	3.605551275
PN5CE.vae.3389	3.605551275
PN3GE.bin.19	3.605551275
PN5RE.bin.153	3.605551275
PN8RC.vae.103398	3.605551275
PN6RI.vae.2330	3.605551275
PN11RE.vae.12187	3.605551275
PN5LE.vae.14281	3.605551275
PN16RV.vae.4628	3.605551275
PN7RU.vae.57803	3.605551275
PN5LE.bin.216	3.605551275
PN1CG.vae.31761	3.605551275
PN13RQ.vae.15113	3.605551275
PN4RD.bin.65	3.605551275
PN6RP.vae.54421	3.605551275
PN6RT.vae.6506	3.605551275
PN1CA.bin.150	3.605551275
PN16RD.bin.42	3.605551275
PN14RT.vae.40680	3.605551275
PN5RC.vae.7632	3.605551275
PN7RL.vae.4262	3.605551275
PN6RF.vae.96620	3.605551275
PN11RA.vae.19652	3.605551275
PN13RD.vae.9407	3.605551275
PN7RH.vae.56080	3.605551275
PN3GB.vae.4466	3.605551275
PN11RI.vae.36013	3.605551275
PN2RJ.bin.21	3.605551275
PN3CB.vae.3351	3.605551275
PN5RA.bin.316	3.605551275
PN3GG.vae.8518	3.464101615
