DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_size
PN1RB.vae.4501	3.155492
PN5IB.vae.5283	3.155056
PN3DF.bin.18	3.152721
PN11RN.bin.28	3.151385
PN11RI.vae.1829	3.147836
PN8RR.vae.40753	3.146293
PN16RH.bin.109	3.1457
PN10RS.vae.919	3.139701
PN3CD.vae.175426	3.137424
PN8RB.bin.4	3.135163
PN13RP.bin.41	3.12023
PN8RK.bin.17	3.119986
PN11RC.vae.15398	3.118218
PN6RC.vae.1485	3.11005
PN13RB.vae.13829	3.109872
H112	3.109299
PN1LE.vae.465	3.108724
PN6RK.bin.86	3.106438
PN3RE.vae.13270	3.105204
PN3DD.vae.16929	3.102892
PN6RB.bin.142	3.099184
PN10RS.vae.6037	3.096062
PN7RE.vae.25301	3.093281
PN11RE.bin.23	3.09171
PN16RM.bin.170	3.091366
PN6RP.bin.105	3.088648
PN3CG.bin.3	3.086941
PN10RD.vae.22907	3.085789
PN6RQ.vae.3619	3.085633
PN13RE.vae.2213	3.083264
PN5RD.vae.38703	3.081632
PN6RC.vae.18865	3.076667
PN6RB.bin.252	3.064755
PN7RT.vae.1176	3.060088
PN6RB.vae.7066	3.058664
PN10RO.vae.1355	3.050261
PN14RG.bin.125	3.045677
PN8RL.vae.34985	3.043898
PN11RO.vae.18905	3.042789
PN8RR.bin.25	3.042396
PN1LL.vae.6549	3.037109
PN15RM.bin.126	3.034752
PN5RD.vae.15857	3.026281
PN5CF.vae.42018	3.022257
PN6RT.bin.92	3.020065
PN2RB.vae.10840	3.018224
H98	3.016322
PN2LH.vae.16244	3.014668
PN16RM.vae.10735	3.012348
PN9RD.vae.1750	3.002577
PN10RN.vae.20273	3.002473
PN16RS.bin.166	3.00094
PN7RO.bin.129	2.999415
PN1GL.bin.46	2.992246
PN6RG.vae.4377	2.987137
PN15RJ.vae.4905	2.979808
PN7RQ.bin.202	2.977851
PN2CB.bin.43	2.975546
PN5LC.bin.191	2.97077
PN5LF.vae.3446	2.96969
PN8RJ.bin.137	2.967217
PN14RC.vae.6726	2.966375
PN1LF.vae.9401	2.961733
PN7RR.vae.10652	2.959856
PN3GB.bin.65	2.958142
PN16RE.vae.12059	2.958059
PN11RE.vae.18868	2.957762
PN9RK.vae.4841	2.95682
J99	2.955516
J406	2.955398
PN16RC.vae.1274	2.952623
PN12RA.bin.101	2.952237
PN7RM.vae.11221	2.95054
PN3CG.vae.9795	2.942177
PN14RC.vae.5403	2.93438
PN15RK.bin.7	2.932838
PN3LD.vae.14085	2.932161
PN11RO.bin.30	2.932036
PN1RC.vae.8095	2.922619
PN5RE.bin.134	2.920161
PN1RL.vae.4386	2.919565
PN10RA.vae.55780	2.919373
CH35	2.918714
PN5CB.bin.82	2.918046
PN3CC.vae.26171	2.914872
PN5RE.bin.154	2.912852
PN2GC.bin.3	2.909464
PN1RC.vae.93693	2.907995
PN11RF.vae.5164	2.906534
PN5RB.vae.3219	2.90534
PN1JG.bin.27	2.899702
PN3DD.bin.19	2.899461
PN9RJ.vae.3537	2.897252
PN1CI.vae.12654	2.889773
PN8RB.bin.141	2.885987
PN1RL.vae.41703	2.883248
PN3GB.bin.48	2.883183
PN3LE.vae.6365	2.877038
PN10RB.vae.90602	2.876191
PN6RJ.bin.101	2.867901
PN3LA.bin.70	2.86338
PN15RK.vae.86164	2.863201
PN3DD.bin.39	2.854496
PN10RH.vae.45902	2.849706
PN10RR.vae.7086	2.849545
PN11RO.vae.6781	2.84528
PN9RI.vae.17238	2.844156
PN4RH.bin.1	2.843637
PN6RI.vae.38939	2.839342
PN6RC.vae.8299	2.832973
PN10RD.vae.19703	2.832948
PN5LD.vae.9312	2.831165
PN1GJ.bin.56	2.830116
PN12RD.vae.6836	2.827287
PN10RN.vae.28271	2.827064
PN3LC.vae.2070	2.821215
PN16RH.bin.20	2.821165
PN1RE.bin.183	2.818406
H186	2.816058
PN12RJ.bin.184	2.81604
PN10RC.bin.112	2.815708
PN8RL.bin.176	2.815553
PN11RA.bin.203	2.815365
PN3LC.vae.3141	2.812199
PN8RE.vae.28214	2.811541
PN15RI.vae.1573	2.811525
PN8RD.vae.3160	2.811494
PN11RK.vae.34303	2.811058
PN10RR.vae.7277	2.807019
PN7RV.vae.1435	2.80501
PN3CB.bin.18	2.804854
PN3RA.vae.519	2.802162
PN16RH.vae.1057	2.801992
PN5RH.vae.9465	2.801883
PN11RK.vae.11286	2.801805
PN5RE.bin.73	2.801526
PN9RH.bin.188	2.8015
