DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	abundance
PN16RF.vae.14450	3.130786859
PN1RE.vae.534	3.128107897
PN13RP.vae.1205	3.116326573
PN3GE.bin.19	3.113770934
PN1RG.vae.3730	3.113508573
PN10RM.vae.12084	3.112970364
PN1GJ.bin.90	3.109496372
PN5GB.bin.11	3.1041666
PN9RC.bin.106	3.103335876
PN11RM.vae.229	3.102784374
PN5GG.vae.6559	3.099127796
PN10RH.vae.1653	3.095131507
PN13RH.bin.146	3.095109902
PN11RH.bin.78	3.0920885
J1395	3.086863432
PN7RJ.vae.390	3.084248674
PN8RJ.bin.67	3.079999222
PN4RB.vae.22037	3.075701224
PN1GF.bin.15	3.06877852
PN1IE.vae.26367	3.067390199
PN7RM.bin.119	3.062417978
PN5RB.vae.19792	3.055911025
PN5LG.vae.3825	3.047653994
PN10RH.vae.2465	3.045978071
PN14RA.bin.96	3.039623558
PN3LB.vae.91643	3.029517365
PN7RG.vae.71998	3.028658059
PN11RK.bin.88	3.028448151
PN3CG.bin.91	3.025318874
PN14RO.vae.77412	3.022527844
PN2CI.vae.2677	3.022505456
PN13RM.bin.113	3.018349323
PN3RG.bin.91	3.014493788
PN3LA.vae.8234	3.011011733
PN10RR.vae.7277	3.009508517
PN10RE.vae.22287	3.001833024
PN3RD.vae.5534	2.999447036
PN1CF.vae.7430	2.993341838
PN5RC.vae.4441	2.991027942
PN5RC.vae.225	2.989283154
PN16RI.vae.23793	2.988517498
PN8RM.bin.200	2.984429669
PN5LD.vae.9312	2.981100856
PN12RH.vae.10178	2.97688365
PN5RE.bin.153	2.976573381
PN11RK.bin.56	2.974934189
PN3CA.vae.101009	2.974408317
PN1GC.bin.15	2.966304535
PN1II.bin.15	2.966013467
PN5RF.vae.7282	2.961800303
PN1GD.bin.41	2.961645506
PN9RJ.vae.3902	2.958624132
PN5CB.bin.82	2.957089972
PN6RN.vae.3728	2.954691071
PN1CH.bin.15	2.954513438
PN9RI.vae.1292	2.950128491
PN5RA.vae.6005	2.946272376
G47	2.941614178
PN5RA.vae.103884	2.940803828
PN1RL.vae.41703	2.940127527
PN10RD.bin.112	2.937476615
PN10RD.vae.2040	2.936672692
PN8RD.vae.2221	2.936259215
PN5LF.bin.176	2.93476355
PN5RA.vae.11471	2.934604506
PN8RC.vae.103398	2.934163601
PN3GG.vae.9536	2.931353958
PN12RI.vae.889	2.926328621
PN5RG.vae.1012	2.921411253
PN1CF.bin.53	2.921011005
PN3JA.bin.5	2.918516616
PN4RE.bin.176	2.909382431
PN5GD.vae.1241	2.907295359
PN6RA.vae.93628	2.906407101
PN13RC.vae.146874	2.899196506
PN7RT.vae.1040	2.896890165
PN7RN.bin.141	2.893439231
PN9RN.bin.124	2.892996573
PN14RA.vae.900	2.892353164
PN5GE.bin.22	2.887902475
PN3GA.bin.14	2.881430936
PN11RC.bin.104	2.880849563
PN7RJ.bin.115	2.879385362
PN5LG.vae.9777	2.877334011
PN16RD.bin.34	2.875815161
PN13RO.vae.51403	2.875458616
PN14RO.bin.122	2.873783368
PN5CB.bin.135	2.873781354
PN8RB.bin.150	2.871089437
PN6RQ.bin.154	2.87029981
PN2LC.vae.53418	2.870014158
PN1GK.bin.25	2.869685678
PN14RH.bin.183	2.868984143
PN2LH.bin.64	2.868713946
PN9RM.bin.130	2.86813837
PN3RD.vae.4706	2.867031902
PN8RC.vae.36546	2.866852435
PN8RD.vae.3381	2.86625509
PN6RQ.vae.3619	2.863397523
PN16RJ.bin.135	2.863392914
PN11RE.vae.3978	2.862204903
PN2GC.bin.3	2.862074329
PN14RA.vae.434	2.86133267
PN7RA.bin.98	2.860549046
PN5RB.vae.5788	2.857975991
PN9RQ.vae.2786	2.856179598
PN3GB.bin.8	2.853836497
PN15RA.bin.9	2.84945341
PN8RJ.vae.7960	2.849073028
PN3GF.vae.5355	2.843866844
PN7RU.vae.4551	2.843047193
PN3RB.vae.4609	2.842268765
PN9RH.vae.1796	2.841910286
PN10RF.vae.12877	2.841832824
PN14RB.vae.5044	2.840686412
PN7RQ.bin.202	2.839512388
PN14RP.vae.111753	2.839020616
PN6RL.vae.1633	2.83648025
PN8RC.vae.6474	2.834072167
PN14RB.vae.26740	2.832512567
PN15RO.vae.261	2.829558796
PN13RT.vae.934	2.828794042
PN8RE.vae.48285	2.828533961
PN5LE.vae.7329	2.828085174
PN8RB.vae.19883	2.828071043
PN14RE.vae.18168	2.826620384
PN7RO.vae.364	2.825841707
PN5CB.vae.22709	2.824276957
PN8RF.bin.54	2.823904166
PN15RA.bin.108	2.822632181
CH8	2.82199696
PN10RH.vae.5545	2.812903124
PN8RL.vae.6450	2.811754097
PN1RJ.vae.3602	2.811307342
PN10RG.vae.11046	2.80973808
PN9RP.vae.118	2.809708808
PN5RH.vae.4409	2.802713332
PN13RA.bin.104	2.802138165
PN11RM.vae.35089	2.796949666
PN10RO.vae.1355	2.796861159
PN6RI.bin.168	2.795780592
PN2LF.vae.3633	2.789527887
PN5RD.bin.57	2.788462167
PN16RO.vae.3839	2.787708261
PN1RG.vae.3313	2.787037524
PN3RD.bin.138	2.786271869
PN13RQ.vae.9350	2.78608536
PN10RL.bin.182	2.785888217
PN1RL.vae.3552	2.785306513
PN13RP.bin.232	2.783896857
PN6RE.vae.18336	2.782403871
PN14RH.vae.37805	2.780439166
PN14RQ.vae.4682	2.779204791
PN10RS.vae.31748	2.777712511
PN11RI.vae.576	2.775563627
PN11RB.bin.71	2.773468876
PN16RT.vae.14827	2.773226819
PN5CC.vae.8795	2.768850667
PN14RA.vae.15210	2.766771149
PN5LF.bin.11	2.764763658
PN2JD.vae.12717	2.763986513
PN12RB.bin.110	2.763801581
PN5CF.vae.42018	2.762658946
PN5GA.vae.2156	2.761957792
PN15RC.vae.11312	2.76175053
PN2CF.vae.12729	2.759222113
PN5RC.vae.5206	2.758161445
PN16RJ.vae.645	2.757446055
PN1JA.bin.12	2.754917124
PN6RI.bin.183	2.75488506
PN6RG.bin.120	2.754308661
