DATASET_GRADIENT
#In gradient datasets, each ID is associated to a single numeric value which is converted to a colored box based on the gradient defined.

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file.
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	occurence
PN13RS.vae.16054	1.76983608
PN1RB.bin.120	1.768218594
PN3LB.vae.91643	1.712995803
PN6RN.vae.3728	1.404541789
PN10RS.vae.1153	1.714832146
PN7RT.vae.8749	1.513270068
PN8RG.bin.115	0.701811636
PN11RK.bin.88	1.777834363
PN7RA.bin.98	1.641113796
PN2CC.vae.7452	0.738023809
PN12RA.vae.8317	0.544203783
PN14RI.vae.7554	1.489302913
PN5RB.vae.20576	1.638936876
PN5CC.vae.8795	1.220897392
PN16RP.bin.78	1.803976789
PN3RB.vae.7224	1.760039548
PN14RC.vae.335	1.696109657
PN8RC.vae.6474	1.396988651
PN10RO.vae.26865	1.618837401
PN7RP.bin.162	1.516175059
PN15RK.bin.100	1.62788553
PN3RD.vae.4706	0.802481798
PN13RT.vae.934	-0.358886204
PN7RJ.bin.115	1.771447564
PN5LE.vae.5041	1.791870235
PN14RB.bin.146	1.649713967
PN6RS.vae.10052	1.433505485
PN8RI.vae.21106	1.146263774
PN3RD.bin.138	1.743204321
PN5RC.vae.5206	1.832844189
PN5RC.vae.12731	1.739757521
PN5GD.vae.1241	1.701811636
PN1RE.bin.124	1.562800271
PN14RO.bin.122	1.65395102
PN1RE.vae.534	1.411965807
PN4RE.bin.176	1.74662398
PN10RO.vae.5995	1.600155188
PN6RE.bin.46	1.668463403
PN8RS.vae.9408	0.755057148
PN5LA.vae.6738	1.60253489
PN11RK.bin.123	1.773053091
PN14RA.vae.10105	1.779416494
PN12RJ.vae.164162	1.567970505
PN4RF.bin.57	1.777834363
PN7RI.vae.5574	1.670497573
PN7RV.vae.20698	1.357117139
PN5LF.vae.19924	1.647579838
PN8RK.vae.257	1.357117139
PN8RJ.vae.7960	1.404541789
PN5LE.bin.190	1.660230086
PN7RR.bin.15	0.755057148
PN3CG.bin.91	0.516175059
PN1RJ.vae.3602	1.811375511
PN11RE.vae.12187	0.738023809
PN13RO.vae.51403	1.756724307
PN6RQ.vae.3619	1.557567744
PN5RD.vae.22719	1.743204321
PN11RH.bin.78	1.125413635
PN12RB.bin.110	1.554927648
PN5CF.vae.42018	1.787241831
PN3CG.vae.3495	0.595356305
PN8RC.bin.14	1.834238394
PN7RG.bin.178	1.63674899
PN2LB.bin.114	1.645435169
PN5JF.vae.4331	1.638936876
PN16RT.vae.14827	1.744917517
PN6RO.vae.20214	1.802481798
PN2LD.vae.8668	1.021325037
PN15RB.bin.121	1.623385029
PN5RE.bin.306	0.486211836
PN14RF.bin.142	1.335718995
PN5LD.bin.59	1.65395102
CH25	1.191342149
PN14RO.vae.7348	1.415630761
PN6RI.bin.168	1.714832146
PN13RN.vae.15856	1.722100843
PN10RH.vae.5545	1.618837401
PN5RA.bin.273	1.541480924
PN8RM.vae.3080	1.45067351
PN7RH.vae.14632	1.396988651
PN7RU.vae.4551	1.396988651
PN13RR.vae.13926	1.658147135
PN14RQ.bin.57	0.720295042
PN15RA.bin.9	0.701811636
PN10RS.vae.31748	1.766595061
PN8RR.bin.211	1.727473626
PN12RD.vae.9679	1.538740887
PN2LB.vae.2767	1.440454345
PN13RA.vae.28982	1.698018647
PN3CH.vae.2305	1.718481701
PN7RQ.vae.11258	1.578129903
PN7RE.vae.3268	0.919867397
PN8RM.bin.200	1.755057148
PN14RK.vae.3709	1.780992882
PN5RA.bin.104	0.720295042
PN15RH.bin.46	1.580633048
PN13RT.vae.17061	1.814300064
PN5RD.vae.38703	1.780992882
PN2RF.vae.3973	1.729249884
PN10RR.vae.7277	1.785688003
PN14RM.bin.95	1.797965697
PN10RE.vae.1614	1.698018647
PN11RI.vae.43284	1.20340666
PN11RG.vae.37198	1.42286917
PN8RE.vae.5104	0.755057148
PN8RB.bin.204	1.530415498
PN5IH.vae.665	1.739757521
PN9RC.vae.5449	1.269502726
PN5CG.vae.5625	1.590503802
PN8RQ.bin.43	0.544203783
PN8RI.vae.10854	1.674537551
PN11RF.vae.12622	1.70369578
PN13RK.vae.1409	0.738023809
PN13RK.vae.22689	1.676543534
PN6RB.bin.220	1.784128596
PN9RJ.vae.3537	1.429988911
PN1RD.vae.160564	1.803976789
PN11RD.bin.137	1.756724307
PN16RF.bin.22	1.595356305
PN3CA.vae.101009	1.755057148
PN1RK.bin.254	1.60253489
PN8RL.vae.14373	1.732780753
PN7RA.vae.24338	0.85859774
PN13RB.bin.67	1.544203783
PN1LI.vae.2220	1.729249884
PN12RH.bin.30	1.11823505
PN16RM.bin.54	1.780992882
PN14RA.vae.900	1.226574525
PN1RL.vae.3552	1.597762375
PN7RG.vae.7305	1.436993813
PN6RN.vae.1258	1.507401135
PN6RO.vae.66118	1.463935441
PN6RB.vae.6062	1.226574525
PN2CI.vae.2677	1.415630761
PN5RG.vae.1012	1.678540294
PN5LE.vae.12265	1.467188598
PN5RA.vae.15715	1.699919282
PN5LG.vae.3825	1.773053091
PN6RF.bin.18	1.513270068
PN10RK.bin.142	1.533208398
PN12RH.vae.10178	1.426443631
PN13RD.vae.8515	1.588057066
PN10RA.bin.28	1.776246447
PN1LD.vae.9714	1.680527915
PN10RD.bin.112	1.411965807
PN10RM.vae.3742	1.110935812
PN15RN.vae.1625	1.590503802
PN16RL.bin.82	1.784128596
PN1CL.vae.62331	1.723899166
PN5JD.vae.18609	1.381476485
PN10RL.vae.5506	1.630118411
PN2JH.vae.1664	1.658147135
PN5CE.vae.3389	1.415630761
PN10RM.vae.12084	1.62788553
PN6RI.vae.2330	1.585596468
PN14RP.vae.44700	1.592936831
PN10RG.vae.10218	1.674537551
PN2LD.bin.87	1.578129903
PN11RM.vae.229	1.533208398
PN10RD.vae.2040	1.690331818
PN11RA.bin.182	1.734535481
PN15RG.bin.130	1.780992882
PN16RM.bin.176	1.618837401
PN1RL.vae.41703	1.817205055
PN10RF.vae.12158	1.694192239
PN11RI.bin.118	1.694192239
PN4RC.vae.1613	0.454027152
PN3LB.vae.30663	1.110935812
PN5RG.bin.121	1.021325037
PN6RS.vae.155494	1.723899166
