group_pair	r2	r2adj	pval
JL-LXP_vs_JL-DLLW	0.3249766543476	0.282787695244325	0.001
JL-SLBP_vs_LN-BJBP	0.540711857562096	0.517747450440201	0.001
JL-SLBP_vs_LN-JSBP	0.477643634910618	0.460231756074305	0.001
JL-SLBP_vs_LN-LDBP	0.361324567127445	0.335777549812543	0.001
JL-SLBP_vs_LN-THNP	0.326578878354142	0.289166593818261	0.001
JL-SLBP_vs_LN2-LDBP	0.203979435945781	0.178301353234355	0.001
JL-SLBP_vs_SD-LWP	0.314776273455068	0.293363032000539	0.001
JL-SLBP_vs_SX-LLBP	0.151484739589399	0.123200897575713	0.001
JL-SLBP_vs_JL-DLLW	0.350593213966184	0.314515059186527	0.001
LN-BJBP_vs_LN-JSBP	0.693843068000065	0.68290889185721	0.001
LN-BJBP_vs_LN-LDBP	0.711025903845901	0.698461812708766	0.001
LN-BJBP_vs_LN-THNP	0.219351255585078	0.170560709059145	0.003
LN-BJBP_vs_LN2-LDBP	0.599827408998029	0.586028354135892	0.001
LN-BJBP_vs_SD-LWP	0.475694412723391	0.458217559814171	0.001
LN-BJBP_vs_SX-LLBP	0.508298273951421	0.490737498021114	0.001
LN-BJBP_vs_JL-DLLW	0.761804403433865	0.746917178648482	0.001
LN-JSBP_vs_LN-LDBP	0.47567753615768	0.459788976647307	0.001
LN-JSBP_vs_LN-THNP	0.531939538818291	0.513937213388226	0.001
LN-JSBP_vs_LN2-LDBP	0.588086091641277	0.577524196555156	0.001
LN-JSBP_vs_SD-LWP	0.576918410610269	0.566341370875526	0.001
LN-JSBP_vs_SX-LLBP	0.572131513365943	0.560871816349257	0.001
LN-JSBP_vs_JL-DLLW	0.678937314681212	0.666588749861258	0.001
LN-LDBP_vs_LN-THNP	0.490318937965153	0.466048411201588	0.001
LN-LDBP_vs_LN2-LDBP	0.343661531400238	0.324357458794363	0.001
LN-LDBP_vs_SD-LWP	0.385911882040304	0.368366507241455	0.001
LN-LDBP_vs_SX-LLBP	0.430837239045382	0.413589882652818	0.001
LN-LDBP_vs_JL-DLLW	0.565710883134438	0.545030448997982	0.001
LN-THNP_vs_LN2-LDBP	0.375964714016821	0.352852296017444	0.001
LN-THNP_vs_SD-LWP	0.24696039318498	0.220066121513015	0.001
LN-THNP_vs_SX-LLBP	0.3030195700121	0.276212630397181	0.001
LN-THNP_vs_JL-DLLW	0.492332198673411	0.456070212864369	0.001
LN2-LDBP_vs_SD-LWP	0.263719502795983	0.245761441888568	0.001
LN2-LDBP_vs_SX-LLBP	0.179397490446094	0.158356400457533	0.001
LN2-LDBP_vs_JL-DLLW	0.377579160878484	0.354526537207317	0.001
SD-LWP_vs_SX-LLBP	0.317362309578758	0.300296367318227	0.001
SD-LWP_vs_JL-DLLW	0.458586990482024	0.439250811570668	0.001
SX-LLBP_vs_JL-DLLW	0.417721092134828	0.395325749524629	0.001
