DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness
PN13RM_k141_1559175	33911
PN15RF_k141_956139	55911
PN16RC_k141_1609816_1	45444
PN3RG_k141_1326090	39510
PN1RL_k141_1737384_1	29980
PN15RA_k141_132227	31384
J77_NODE_6_1	26805
K319_NODE_5_1	39267
PN1RC_k141_624899	81787
PN2GD_k141_196561	89513
PN7RT_k141_1872202_1	5219
PN3DD_k141_118164	35076
PN13RR_k141_1323883	7068
PN7RM_k141_1189755	64549
PN16RK_k141_848462	13529
PN16RO_k141_711265	13111
PN1LK_k141_364574	35231
PN1RC_k141_2847667	50022
PN1RK_k141_1975523	17425
PN2CF_k141_1727916	18278
PN2LD_k141_799902	26341
PN2RF_k141_760349	22869
PN3LA_k141_1296075	25681
PN6RK_k141_1118573	22596
PN6RT_k141_1705081	20862
PN7RB_k141_264801	26006
PN7RU_k141_1179233	28491
PN8RO_k141_250682_1	42319
PN3LA_k141_915547	33922
PN5RA_k141_242837	27339
PN6RM_k141_313247	41701
PN7RN_k141_323106	47737
J1385_NODE_1_1	137626
J1385_NODE_3_1	45797
PN16RV_k141_1036786	40165
PN13RI_k141_1517676	58361
PN7RO_k141_1314925	37979
PN10RG_k141_2101557	10931
PN10RG_k141_2131870	33887
PN10RH_k141_2330311	33060
PN10RJ_k141_1564745_1	32134
PN10RN_k141_1434489_1	39480
PN10RN_k141_7749_1	43100
PN11RI_k141_2252232	5624
PN11RO_k141_813701	30446
PN12RH_k141_976817	31636
PN13RA_k141_2029746	7886
PN13RI_k141_283866	32298
PN13RI_k141_636790_1	56615
PN13RP_k141_1816280_1	27355
PN14RB_k141_1446438	19825
PN14RF_k141_861355_1	27279
PN14RQ_k141_190850_1	37672
PN16RA_k141_2495262	5564
PN16RA_k141_596622_1	20123
PN16RA_k141_677659	37191
PN1CB_k141_389047	25632
PN1CH_k141_984825	7640
PN1GG_k141_198227	16134
PN1GG_k141_219423_1	34778
PN1GG_k141_289873	28528
PN1GG_k141_458498_1	18976
PN1GG_k141_85076	31774
PN1GH_k141_12124_1	53282
PN1JE_k141_459192	29246
PN1JG_k141_41642_1	27861
PN1LH_k141_1557568	5595
PN1RB_k141_883195	38830
PN2CG_k141_2139676	5083
PN2GC_k141_73239	39770
PN2LB_k141_2083531	21218
PN3DG_k141_423461	33566
PN3GG_k141_202641	37739
PN3LE_k141_1547613	25365
PN3RE_k141_1114360	17872
PN4RG_k141_1071677_1	23116
PN5LF_k141_122817	22969
PN5LF_k141_455341_1	25042
PN5LF_k141_549949_1	26096
PN6RF_k141_247980_1	16779
PN6RH_k141_1513213	7348
PN6RN_k141_1523750	19158
PN6RQ_k141_1604334_1	34396
PN7RC_k141_698595	5619
PN7RE_k141_1177636	40890
PN7RM_k141_185423	32572
PN7RM_k141_965061	30136
PN7RV_k141_455987_1	33835
PN8RD_k141_610857	34281
PN8RL_k141_432591_1	24266
PN8RN_k141_286304	151885
PN8RP_k141_202740	82654
PN8RS_k141_1310808	19553
PN14RP_k141_699256_1	35899
PN5RA_k141_4107	22556
PN13RN_k141_1562096	36828
PN15RF_k141_313052	24759
PN13RI_k141_1704048	21188
PN1RL_k141_852170	26724
PN14RD_k141_631412	10456
PN5LE_k141_395296	23514
PN4RA_k141_1138051_1	44197
PN5LA_k141_320388	20320
PN8RD_k141_1123442	9690
PN13RR_k141_763095	34285
PN8RJ_k141_1038434_1	38295
PN4RA_k141_487658_fragment_1	66507
PN3LD_k141_90287	44506
PN5LD_k141_822671	50960
PN9RI_k141_1009665	54783
PN10RG_k141_1032083	37510
PN16RS_k141_314600	140201
PN1RB_k141_1111826_1	59189
PN10RQ_k141_407430	44227
PN11RF_k141_2326392	39974
PN14RN_k141_960128	32189
PN1RH_k141_3088510	102763
PN1RL_k141_2264280	44118
PN2RF_k141_421857	33130
BL1_NODE_8_1	50107
PN12RH_k141_1135794	11121
PN15RB_k141_916132	26408
PN1GE_k141_38643	19871
PN1GE_k141_6580	10129
PN1GJ_k141_96879	27112
PN3DG_k141_58494	17526
PN3GH_k141_176980	20709
PN5CD_k141_368353_1	32280
PN5GD_k141_342333	37407
PN1JH_k141_193338_1	23427
PN14RO_k141_651685	6432
PN1GE_k141_316818	25123
PN8RF_k141_776708	40235
PN1GG_k141_438038	23523
PN1RF_k141_334633	38826
A99_NODE_3_1	33501
BL4_NODE_1_1	31757
CH1_NODE_6_1	32100
GY2_NODE_1_1	40877
GY2_NODE_34_1	25747
GY2_NODE_5_1	42713
H31_NODE_3_1	65411
H35_NODE_1_1	31670
H35_NODE_5_1	37996
J1274_NODE_1_1	42955
J1343_NODE_6_2	26960
J1357_NODE_39_1	32831
K260_NODE_27	13794
K72_NODE_13_1	42837
K72_NODE_16_1	29777
PN10RM_k141_13626	32018
PN10RP_k141_98199	45241
PN1GG_k141_383020	36741
PN1RL_k141_1147664	12901
PN5JC_k141_42103_1	30468
PN5JC_k141_85530_1	44184
PN6RF_k141_1126269	27605
PN8RR_k141_1416145	5035
Q21_NODE_8_1	46569
Q29_NODE_1_1	73893
Q29_NODE_5	61317
Q3_NODE_10_1	29157
Q43_NODE_9_1	28895
R99_NODE_5_1	32215
K312_NODE_2_1	39599
PN1RH_k141_216261	57513
BL5_NODE_2_1	69770
H6_NODE_9_1	40437
J1357_NODE_28_fragment_1	48337
MR53_NODE_1_1_fragment_1	120828
PN9RB_k141_625557	63565
XR16_NODE_2_1	151960
CH1_NODE_16_1	65631
CH1_NODE_19	42709
GY2_NODE_24_1	49856
GY8_NODE_2_1	61721
H19_NODE_1_1	58411
J1343_NODE_19	65086
J339_NODE_1_1	113582
PN3RG_k141_2685503	43623
Q21_NODE_15	82396
Q21_NODE_9_1	29342
XR16_NODE_53_1	27541
XR34_NODE_3_1	37014
XR10_NODE_3_1	39300
XR10_NODE_8_1	48101
CH3_NODE_11_1	24517
CH3_NODE_39_1	23344
CH3_NODE_42	33833
CH3_NODE_51	25017
K11_NODE_21	39154
K320_NODE_6_1	36003
PN1JE_k141_182583	17144
PN7RP_k141_911533	24688
PN8RH_k141_729013	15190
PN8RL_k141_649408	9597
PN8RS_k141_1431164	31572
TY10_NODE_44_1	13881
TY9_NODE_2_1	28556
PN1RL_k141_989139	38133
PN8RL_k141_526453	16945
PN13RQ_k141_389292	47154
PN1JE_k141_487281	48221
PN3CB_k141_1512286_1	31254
PN6RR_k141_1031630	146679
TY10_NODE_2_1	35127
PN5CH_k141_106722	38441
J427_NODE_8	67117
J354_NODE_1_1	36481
PN10RB_k141_1556573	32582
PN10RE_k141_1220772	27865
PN10RF_k141_1835983	33140
PN10RH_k141_2279080	42480
PN10RI_k141_27376	7866
PN11RA_k141_1979683	27722
PN11RI_k141_1224321	21589
PN11RI_k141_2252169	7229
PN11RI_k141_682831	53637
PN11RM_k141_1202730	42309
PN11RM_k141_372812	21536
PN12RB_k141_1528084	10945
PN12RD_k141_1050684	48614
PN12RD_k141_1458418	19722
PN12RE_k141_946868	53733
PN12RG_k141_277866	23911
PN12RG_k141_436704	6507
PN12RH_k141_508319	6417
PN12RJ_k141_1487464	33647
PN13RA_k141_214791_1	23704
PN13RA_k141_2165957	35745
PN13RC_k141_1594190	16525
PN13RC_k141_883908	31477
PN13RE_k141_596718	26489
PN13RL_k141_1484157	23857
PN13RL_k141_2262413	122249
PN13RQ_k141_1263350	38649
PN13RR_k141_388578	35697
PN13RR_k141_431000_1	46835
PN13RS_k141_634756	22697
PN13RT_k141_44961	21919
PN14RB_k141_567605	31446
PN14RD_k141_6866	25351
PN14RH_k141_1145350	51980
PN14RI_k141_1424006	17595
PN14RK_k141_1018723	39708
PN14RM_k141_689086	34050
PN14RP_k141_1098898	27692
PN14RQ_k141_1160641	56464
PN14RT_k141_446521	11833
PN15RB_k141_1596035	5994
PN15RH_k141_1139441	24664
PN15RO_k141_826173	12319
PN16RC_k141_930058	39417
PN16RE_k141_1662177	30184
PN16RH_k141_2353118	7245
PN16RN_k141_1887405	22335
PN1CA_k141_588401	25894
PN1CB_k141_36042	181953
PN1CD_k141_1966100	17736
PN1CD_k141_854005	48405
PN1CF_k141_648755	63482
PN1CG_k141_125759	56831
PN1CG_k141_174829	22716
PN1CG_k141_217331	10769
PN1CG_k141_809956	40580
PN1CH_k141_483523	35741
PN1CJ_k141_612313	38794
PN1GC_k141_14456	61361
PN1GE_k141_101787_1	40922
PN1GE_k141_185907	28178
PN1GF_k141_4800	21550
PN1GG_k141_44788	47728
PN1GH_k141_48384	40171
PN1GH_k141_71210	32285
