DATASET_SIMPLEBAR
SEPARATOR TAB

#数据集名称
DATASET_LABEL	simplebar_completeness
PN13RE_k141_1393717_1	26434
PN13RG_k141_1488105_1	24065
PN13RH_k141_2229939	12899
PN13RI_k141_1217193	7858
PN13RI_k141_1296504	31027
PN13RI_k141_1793722	5013
PN13RI_k141_706515	30628
PN13RJ_k141_2254409	5341
PN13RJ_k141_332705	12454
PN13RK_k141_166999	96348
PN13RL_k141_1095303	10638
PN13RL_k141_1097038	31605
PN13RL_k141_1954745	21613
PN13RL_k141_551142	26669
PN13RP_k141_1081838	26501
PN13RP_k141_1869948	82032
PN13RS_k141_1276229_1	33878
PN13RS_k141_2099105	7627
PN13RT_k141_1140573	8776
PN13RT_k141_849906	19842
PN14RC_k141_780327	15017
PN14RD_k141_1921699	11732
PN14RD_k141_907652	9683
PN14RD_k141_97668_1	20659
PN14RE_k141_1109357	33284
PN14RE_k141_1138548	28108
PN14RE_k141_1257169	5635
PN14RG_k141_1949736	21313
PN14RG_k141_240012	26242
PN14RH_k141_1855514	42794
PN14RH_k141_982535	20132
PN14RK_k141_823990	10706
PN14RK_k141_870571	44854
PN14RL_k141_550113_1	8874
PN14RM_k141_1259091	5061
PN14RM_k141_483940	32869
PN14RM_k141_656373	41443
PN14RN_k141_109512	30906
PN14RO_k141_1727115	5015
PN14RO_k141_544306	12080
PN14RQ_k141_1324303	67725
PN14RQ_k141_972102	20949
PN15RA_k141_140078	7749
PN15RA_k141_625972	23444
PN15RB_k141_1032585	34172
PN15RB_k141_1284014	17181
PN15RE_k141_1290690	5510
PN15RF_k141_217144	11069
PN15RG_k141_1192587	31377
PN15RG_k141_122317	24498
PN15RG_k141_226157	19335
PN15RG_k141_615630	10613
PN15RH_k141_478194	23792
PN15RH_k141_53208	86969
PN15RJ_k141_312498	5039
PN15RJ_k141_618149	57360
PN15RK_k141_1225567	25873
PN15RK_k141_614418	15957
PN16RA_k141_1968974	31942
PN16RA_k141_803372	7923
PN16RC_k141_1101185	48670
PN16RC_k141_921101	17705
PN16RE_k141_1422896	11232
PN16RE_k141_1473060	12641
PN16RE_k141_422853	30072
PN16RE_k141_968124	28363
PN16RF_k141_1076598	12991
PN16RF_k141_2201807	5065
PN16RF_k141_504102_1	20017
PN16RG_k141_1443009	37226
PN16RG_k141_196617	13409
PN16RG_k141_419279	32940
PN16RG_k141_548461	55867
PN16RH_k141_1040154	23631
PN16RH_k141_1237324	6125
PN16RH_k141_496979	5436
PN16RH_k141_665412	82879
PN16RI_k141_113088	48048
PN16RI_k141_821512	37684
PN16RJ_k141_1800175	6408
PN16RK_k141_1090714	8704
PN16RL_k141_1014389	7091
PN16RL_k141_1282464	26684
PN16RL_k141_1778906	5127
PN16RL_k141_246454	11434
PN16RN_k141_423602	37865
PN16RN_k141_619281	24577
PN16RQ_k141_1436220_1	5355
PN16RR_k141_859769	11180
PN16RV_k141_1037472_1	39158
PN16RV_k141_1770804	10950
PN16RV_k141_1798187	56260
PN16RV_k141_1830640	36490
PN1CB_k141_1819891	22829
PN1CC_k141_357446	5185
PN1CE_k141_436355	57281
PN1CG_k141_412633	10774
PN1CG_k141_495308	27327
PN1CG_k141_972747	10901
PN1CG_k141_972755	44782
PN1CI_k141_1043929	50923
PN1CL_k141_467115	10980
PN1LC_k141_491130	49237
PN1LD_k141_344946	35504
PN1LG_k141_140180	57821
PN1LG_k141_216927	19420
PN1LG_k141_549311	40064
PN1LH_k141_688915	5395
PN1LL_k141_412318	24301
PN1RA_k141_4372603	34621
PN1RB_k141_1160459	14205
PN1RB_k141_3559807	37762
PN1RB_k141_3824315	25671
PN1RC_k141_1930999	11129
PN1RC_k141_2932285	24533
PN1RE_k141_1483311	20770
PN1RF_k141_1975648	32475
PN1RF_k141_446664	30745
PN1RF_k141_69471	18701
PN1RI_k141_1354725	10590
PN1RJ_k141_1097487	20542
PN1RK_k141_1513114	22336
PN1RK_k141_2033176	54721
PN1RK_k141_2631386	19759
PN1RK_k141_3048220	21533
PN1RK_k141_3212591	25286
PN1RK_k141_591576	42058
PN1RL_k141_1314236	34704
PN1RL_k141_1568583_1	21339
PN1RL_k141_1917388	35388
PN1RL_k141_2264337	5004
PN1RL_k141_288170	16704
PN1RL_k141_451231	27508
PN1RL_k141_79093	25477
PN2CC_k141_2019369	5297
PN2CG_k141_1828910	18307
PN2CH_k141_2406655	32605
PN2CH_k141_345258	62912
PN2JH_k141_103235	44219
PN2LB_k141_1305197	9200
PN2LC_k141_1299002	42006
PN2LD_k141_460154	7010
PN2LF_k141_1921980	30759
PN2LG_k141_1483999	11343
PN2LG_k141_1808617	5515
PN2RA_k141_148428	45012
PN2RA_k141_2853048	5444
PN2RB_k141_2357150	6990
PN2RC_k141_1453745	9195
PN2RE_k141_173446_1	38322
PN2RF_k141_198310	12956
PN2RF_k141_2911648	28641
PN2RF_k141_908280	10582
PN2RG_k141_2237623	5489
PN3CA_k141_1299192_1	26927
PN3CA_k141_753904_1	24768
PN3CA_k141_851006	9098
PN3CB_k141_2324649	5561
PN3CD_k141_1316456	20802
PN3CD_k141_143099	26006
PN3CF_k141_191209	34341
PN3CG_k141_415658	8992
PN3CH_k141_275460	10324
PN3DG_k141_137384	19197
PN3DG_k141_398541	46080
PN3LA_k141_1038893	22629
PN3LA_k141_1530870	5068
PN3LB_k141_1513420	5266
PN3LB_k141_314109	5551
PN3LB_k141_571271	5283
PN3LD_k141_1186085	25326
PN3LD_k141_1638042	39603
PN3LE_k141_1096130	24382
PN3LE_k141_1104111	28406
PN3LE_k141_1531720	40194
PN3LE_k141_535839	11910
PN3LG_k141_756570	26163
PN3RA_k141_2272637	8156
PN3RC_k141_179426	5013
PN3RC_k141_525832	17906
PN3RD_k141_1275343	12961
PN3RD_k141_189477	13171
PN3RD_k141_2011532	39241
PN3RD_k141_2234067	34596
PN3RD_k141_774523	12448
PN3RD_k141_964604	15212
PN3RE_k141_1199126	5242
PN3RE_k141_1261933	8122
PN3RE_k141_1361895	11359
PN3RE_k141_2053368	10603
PN3RE_k141_2069153	5649
PN3RE_k141_2544305	5478
PN3RF_k141_3628658	30755
PN3RF_k141_404193	62547
PN3RG_k141_1673549	5279
PN3RG_k141_1988652_1	27036
PN3RG_k141_2268838_fragment_1	7995
PN3RH_k141_2341322	39662
PN3RH_k141_3548770	5128
PN3RH_k141_816127	20862
PN4RC_k141_1518809	11005
PN4RD_k141_1576507	5318
PN4RD_k141_1898318	13750
PN4RE_k141_1197710	43398
PN4RE_k141_589466_1	11897
PN4RE_k141_608468	11909
PN4RE_k141_640385	12289
PN4RF_k141_149508_1	21892
PN4RF_k141_845852	23761
PN4RG_k141_808449	12015
PN4RH_k141_1503808	43712
PN4RH_k141_904729	36461
PN5CC_k141_97739_1	18168
PN5CD_k141_533656_1	69958
PN5CF_k141_225700_1	30898
PN5CG_k141_370212	19696
PN5CG_k141_47268_2	40646
PN5RA_k141_496538	40353
PN5RA_k141_808560_1	6262
PN5RB_k141_223262_1	40135
PN5RB_k141_835650_1	45333
PN5RC_k141_169846	27049
PN5RD_k141_136384	30908
PN5RE_k141_214632	23020
PN5RE_k141_249180	41287
PN5RE_k141_694772	20700
PN5RF_k141_224829	41885
PN5RH_k141_837854	21218
PN6RC_k141_132531	22474
PN6RC_k141_1467131	20877
PN6RC_k141_1990098	31736
PN6RC_k141_1997748	21569
PN6RC_k141_539878	29289
PN6RC_k141_846690_1	52756
PN6RD_k141_1596593_1	26898
PN6RD_k141_229563_1	29674
PN6RF_k141_115752	12575
PN6RF_k141_1530958	25574
PN6RF_k141_484262	22752
PN6RG_k141_581429	19206
PN6RG_k141_830152	11518
PN6RI_k141_1155714	31095
PN6RJ_k141_1064651_1	22942
PN6RJ_k141_1628946_1	10176
PN6RJ_k141_962073_fragment_2	24244
PN6RL_k141_2366789	5316
PN6RL_k141_433959	27905
PN6RL_k141_773360	36676
PN6RM_k141_1541289	37372
PN6RM_k141_1596284	24112
PN6RN_k141_258700	41493
PN6RO_k141_1335168	9220
PN6RO_k141_652024_1	28621
PN6RQ_k141_541526_1	33633
PN6RQ_k141_7666	22381
PN6RR_k141_1426805	21142
PN6RS_k141_1580508	22981
PN7RA_k141_1254614	46811
PN7RA_k141_531561_1	62701
PN7RC_k141_31097	5048
PN7RC_k141_563520	5271
PN7RE_k141_1403719	5364
PN7RE_k141_699738	18474
PN7RF_k141_944862	8672
PN7RG_k141_1843367	5121
PN7RH_k141_1257172	5311
PN7RH_k141_128691	17408
PN7RJ_k141_1103301	5080
PN7RJ_k141_1771665	34677
PN7RK_k141_1277620	34562
PN7RK_k141_1587606	24856
PN7RK_k141_1661994	9156
PN7RK_k141_2422350	5728
PN7RL_k141_813913_1	22398
PN7RM_k141_216873	40468
PN7RT_k141_1555788	20553
PN7RV_k141_580068	58068
PN8RA_k141_151128	26584
PN8RA_k141_196439	42058
PN8RB_k141_1053234	38418
PN8RC_k141_192133_1	33834
PN8RD_k141_1056988	23815
PN8RD_k141_136367	23348
PN8RE_k141_1499983	44276
PN8RE_k141_314653	5153
PN8RF_k141_549863	32614
PN8RJ_k141_102805	24442
PN8RJ_k141_413354_1	28495
PN8RL_k141_1403189	19267
PN8RL_k141_995864	12452
PN8RM_k141_1294840_1	38605
PN8RM_k141_1322336	22662
PN8RM_k141_84661	35062
PN8RO_k141_1842673	55580
PN8RP_k141_239874	5378
PN8RR_k141_447065_1	33949
PN8RR_k141_886374	12491
PN8RS_k141_220387	9142
PN8RS_k141_588881	20160
PN9RI_k141_255095	22771
PN9RJ_k141_518441	24365
PN2LI_k141_1875978	25028
PN8RF_k141_383832_1	32587
PN8RB_k141_780326	13450
PN9RO_k141_87471	57549
PN8RP_k141_524557	11803
PN2LG_k141_1027086	10730
PN7RQ_k141_745432	42951
PN14RM_k141_1258888	13563
PN15RN_k141_1691348	49104
PN14RO_k141_367135	12244
PN6RC_k141_86688	32847
PN13RA_k141_1712260	41756
PN7RS_k141_202352	23810
PN15RF_k141_1005524	14503
PN13RG_k141_211229	51933
PN6RM_k141_1225508	61580
PN15RN_k141_266939	31775
PN13RE_k141_1317880	45539
PN15RE_k141_674171	14013
PN5RG_k141_14605_1	41979
PN14RE_k141_87802	12151
PN14RK_k141_1021236	11489
PN16RE_k141_1662180	44692
PN7RO_k141_1256128	6154
PN3RD_k141_1128506	27852
PN8RL_k141_1311382	53892
PN2RG_k141_1842750	41885
PN5RF_k141_310800	32923
PN5RD_k141_841906	43237
PN10RL_k141_1492851_1	65833
PN16RA_k141_879835	34348
PN8RB_k141_452351_1	24321
PN1RH_k141_3088508	49483
PN5RD_k141_294695	27341
PN7RU_k141_279623	46692
PN7RR_k141_1106203	10264
PN7RC_k141_2149017_1	49527
PN12RC_k141_223950	29453
PN14RA_k141_1493804_1	41160
PN13RU_k141_1283054	52335
PN2RB_k141_245164	11588
PN5RH_k141_297677	7889
PN14RP_k141_186708	23518
PN7RL_k141_1341879_1	30312
PN4RC_k141_1256580	31477
PN8RE_k141_128686	41659
PN8RL_k141_634734	20100
PN9RO_k141_1398998	24167
PN13RC_k141_1014693	52426
PN13RG_k141_2026351	64045
PN1CL_k141_1444798_1	46605
PN5RC_k141_86945_1	26330
PN13RI_k141_61203	28103
PN13RJ_k141_862973_1	28355
PN14RQ_k141_1101181	38524
PN15RO_k141_1082005	34078
PN15RP_k141_1139947	39362
PN16RQ_k141_1745996	21433
PN2RA_k141_1878821	36432
PN3LE_k141_469726	40269
PN5CD_k141_510167	32773
PN6RC_k141_2685586	40685
PN11RN_k141_2323775_1	5550
PN2RA_k141_1464517	163198
PN15RN_k141_620635	32456
PN1CL_k141_381422	52739
PN3LB_k141_1202224_1	61157
PN1LC_k141_689394	72879
PN8RF_k141_574269_1	66145
PN8RS_k141_1283717	105076
PN13RS_k141_472431	60087
PN8RF_k141_1268763	75088
PN10RM_k141_1003596	21367
PN13RR_k141_1346457_1	55026
PN14RS_k141_18213	76404
PN1CG_k141_807418	61124
PN4RE_k141_1021013	54796
PN6RB_k141_534158	28883
PN6RB_k141_2026071_1	40432
PN5CF_k141_175781_1	50263
PN1RI_k141_716355	99068
PN3RG_k141_2537840	37699
PN10RG_k141_592938	33424
PN10RI_k141_1372871	30755
PN10RM_k141_1031587	31525
PN10RT_k141_833600_1	29925
PN11RO_k141_742119	63988
PN12RB_k141_357862	22354
PN13RA_k141_793397_1	58309
PN13RF_k141_2338789	30412
PN13RP_k141_238347	39616
PN14RC_k141_377101_fragment_1	119347
PN14RJ_k141_560965	41497
PN14RM_k141_1170200_1	51357
PN1CI_k141_1123395	95853
PN1RB_k141_1815608	52367
PN1RD_k141_2107356	115888
PN1RE_k141_1756601	63035
PN2CC_k141_88200	98505
PN2LD_k141_1777490	67443
PN2RF_k141_868067	28794
PN3CB_k141_392759_1	35110
PN3GA_k141_9629	43400
PN3RA_k141_1333871	24324
PN6RH_k141_1576806_1	53535
PN6RM_k141_1452788	37198
PN6RQ_k141_471663	37981
PN7RH_k141_1711989	55791
PN7RQ_k141_582482	33688
PN8RF_k141_648998_1	60365
PN8RS_k141_525582	32171
PN2RA_k141_249879_1	51789
PN13RI_k141_1462019	58956
PN11RD_k141_2166257	25223
PN7RT_k141_1142101	62187
PN4RE_k141_789772	72983
PN5RA_k141_875562_1	59030
PN6RC_k141_3150198	39882
PN10RC_k141_1230677	20691
PN10RQ_k141_505987	19841
PN10RQ_k141_870659	40891
PN11RE_k141_1971602	11583
PN11RH_k141_2503339	41381
PN12RG_k141_726467	28936
PN13RI_k141_1431800_1	53007
PN13RN_k141_95187	93640
PN13RP_k141_1533945	35873
PN13RQ_k141_1192323_1	31808
PN13RQ_k141_925169_1	53611
PN13RR_k141_180664	29320
PN14RB_k141_959150	219301
PN14RS_k141_1093157	28253
PN15RA_k141_264596	136888
PN15RD_k141_178387	36290
PN15RF_k141_437407	95747
PN16RA_k141_1690168_1	39599
PN16RE_k141_629306	46492
PN16RE_k141_757998_1	26583
PN16RF_k141_854133_1	66026
PN16RH_k141_387834	66158
PN16RL_k141_331766	24975
PN16RM_k141_1528255	38297
PN16RQ_k141_29915	34122
PN16RR_k141_1158400	24318
PN16RR_k141_155704_1	23209
PN16RT_k141_290957	45532
PN1CD_k141_705215	138488
PN1CJ_k141_1684000	49841
PN1CL_k141_1316422	58416
PN1RB_k141_2121736	50849
PN1RB_k141_976234	53244
PN1RG_k141_889069	87812
PN1RI_k141_1449795	44231
PN1RK_k141_2491950	38505
PN2CB_k141_2346242	46325
PN2CG_k141_321027	37813
PN2LD_k141_1460809	60910
PN2RA_k141_2749860	25573
PN3CG_k141_1440217	45905
PN3LB_k141_1566740_1	46576
PN3LB_k141_394130	29104
PN3LD_k141_167470_1	54003
PN3RA_k141_2173348	42347
PN3RD_k141_1133801_1	34322
PN3RD_k141_85612	116305
PN3RF_k141_1413105	36999
PN3RF_k141_2025656	30985
PN5LC_k141_129061_fragment_3	17553
PN5RE_k141_78330_1	32034
PN5RG_k141_75221	31428
PN6RC_k141_725492_1	26555
PN6RF_k141_1253850_1	38234
PN6RF_k141_459962	36036
PN6RK_k141_108149	34794
PN6RM_k141_1271222	37983
PN6RN_k141_557464	11452
PN6RQ_k141_1325538	31961
PN6RQ_k141_1492900	119841
PN6RQ_k141_297870	24854
PN6RQ_k141_996227_1	48453
PN7RC_k141_1658694_1	25176
PN7RF_k141_721912	40426
PN7RG_k141_1682078	168527
PN7RS_k141_368393	7893
PN8RC_k141_187618	31756
PN8RK_k141_271590	39114
PN8RL_k141_819890	38485
PN8RP_k141_785031	22050
PN8RS_k141_1105034	18631
PN8RS_k141_1180945	69728
PN9RL_k141_1788300	17290
PN5CC_k141_545654	84167
PN5RC_k141_171554	36138
PN16RS_k141_876638	32673
PN8RO_k141_35017	112220
PN14RS_k141_1394684	57081
PN16RU_k141_1909879	31342
PN13RP_k141_1202287	59294
PN5RC_k141_307259	48165
PN7RN_k141_1729071	39582
PN2GG_k141_478725	40740
PN13RI_k141_768064	52475
PN7RO_k141_873013	34387
PN16RF_k141_620575_1	22275
PN15RB_k141_720024	31935
PN12RE_k141_91498	29658
PN12RF_k141_924728	31293
PN10RH_k141_2303654	6133
PN13RP_k141_1223487	16711
PN14RC_k141_1086504	26898
PN14RC_k141_188041	26674
PN16RI_k141_1797251	6112
PN1RA_k141_4399349_1	27802
PN3LA_k141_1859264	6160
PN4RA_k141_1423698_1	28934
PN6RE_k141_663354	19719
PN6RI_k141_366133	22097
PN7RE_k141_1587093	6137
PN8RB_k141_1590422	6183
PN13RG_k141_1394779	96007
PN7RP_k141_858924	57951
PN7RA_k141_352606	29367
GY27_NODE_1_1	32184
GY7_NODE_14_1	31900
J1364_NODE_2_1	51666
MR5_NODE_11_1	33007
PN14RQ_k141_1529788	41524
PN6RB_k141_1702813	33006
XR13_NODE_7_1	26396
GY7_NODE_4_1	55811
PN2JD_k141_127772	138162
GY23_NODE_1_1	59171
J1364_NODE_14_1	73799
XR9_NODE_1_1	49255
PN12RG_k141_922675	51668
PN13RB_k141_1424861	40357
PN13RF_k141_2359975	26058
PN13RN_k141_1434627	31387
PN14RK_k141_1756196	31429
PN15RP_k141_1103596	29605
PN16RA_k141_192214	55070
PN16RC_k141_2076799	27506
PN16RH_k141_1935366	30203
PN16RJ_k141_2060247	28748
PN1CK_k141_827570	15669
PN1LE_k141_342962	27878
PN1RH_k141_1461112	44090
PN1RH_k141_1927542	33823
PN1RH_k141_5956	27961
PN1RL_k141_1715675	24619
PN2CD_k141_24814	29546
PN2CH_k141_2561403	30747
PN2CJ_k141_608166	22937
PN2RA_k141_892251_fragment_1	162119
PN3CC_k141_2214959	30331
PN3CE_k141_668380	30348
PN3RF_k141_3628631	27616
PN4RA_k141_1018125	28666
PN4RC_k141_1945341	30734
PN4RE_k141_268210	27633
PN7RF_k141_1880446	28654
PN7RH_k141_1042438	27765
PN7RR_k141_1400183	29257
PN8RI_k141_565310	25877
PN8RL_k141_559542	14485
PN13RK_k141_2086818	34918
PN13RF_k141_1097882	30630
PN13RO_k141_670707	57263
PN10RS_k141_1988864	29889
PN13RL_k141_110857	11839
PN11RJ_k141_2448640_1	49120
PN13RA_k141_1285764	29674
PN14RJ_k141_691800	69177
PN16RE_k141_217575	26853
PN16RP_k141_1067896	16160
PN1CA_k141_1219127	27509
PN1CI_k141_1129987	28465
PN1LG_k141_538994	26639
PN1RE_k141_1162710	46825
PN1RH_k141_5959	61452
PN2CD_k141_1049427_1	45258
PN2LI_k141_630173	29014
PN8RG_k141_894389	59342
PN8RH_k141_872825	72515
PN13RC_k141_372319	31507
PN1CJ_k141_1689784	37966
PN5IA_k141_258758_1	38211
PN5RC_k141_515837_1	41214
PN8RL_k141_783379	26083
K330_NODE_1_1	36140
K330_NODE_3_1	33561
PN11RI_k141_552961_1	31762
PN2CD_k141_1985199	14106
PN8RG_k141_667934	8823
PN15RK_k141_824396	53807
PN9RG_k141_1567311	7327
PN10RD_k141_1827796_1	32232
J369_NODE_25	41055
PN10RC_k141_485357	26543
PN11RO_k141_765591	47494
PN13RC_k141_671646	47363
PN16RQ_k141_284623	42978
PN1IK_k141_67628	19587
PN1RB_k141_3386974	21811
PN2CI_k141_347244	48616
PN2JD_k141_30888	17315
PN3CG_k141_292593	36560
PN3GG_k141_52640	36881
PN3RD_k141_1692052	37362
PN5CA_k141_720158	33431
PN5CH_k141_107954_1_fragment_1	30683
PN5LA_k141_401655_1	33779
PN5RA_k141_461538_1	33011
PN5RF_k141_1105617_1	30128
PN6RB_k141_1798382	47922
PN6RD_k141_1816289	21924
PN8RN_k141_1360700	56840
PN9RI_k141_208936	25540
PN14RG_k141_452281	24872
PN2CG_k141_805957	90073
PN15RB_k141_952419	30145
PN13RC_k141_1888634	31024
PN5JF_k141_151543	38908
PN16RM_k141_256500	33475
PN13RL_k141_1280039_fragment_1	83099
PN16RA_k141_923307	10549
PN13RS_k141_1807741	57323
PN10RL_k141_1474339	176732
PN16RL_k141_1298106	32873
PN6RC_k141_1328289	33400
PN13RO_k141_130234	34953
PN16RK_k141_1668673	33646
PN1IE_k141_62126	43084
PN2RG_k141_1133214	28493
PN5CG_k141_503855	22482
PN5JD_k141_341100	38660
PN5RB_k141_733440	35909
PN5RC_k141_233193	52029
PN5RF_k141_122120	36504
PN8RJ_k141_929250	48090
CH18_NODE_19_1	40588
CH18_NODE_41_1	27363
CH18_NODE_61	33124
J1034_NODE_2_1	42705
J1049_NODE_1_1	26591
J1049_NODE_13	61802
J1055_NODE_4_1	40267
J1071_NODE_25_1	48918
J1071_NODE_29_1	41491
J1071_NODE_42	45799
J1071_NODE_8_1	31114
PN12RA_k141_1515849	17976
PN16RB_k141_1829019	64074
PN6RB_k141_1575237_1	39417
PN6RD_k141_560112	40749
PN7RE_k141_278468_1	37018
PN8RC_k141_364895_1	26545
Q36_NODE_5	32661
XR23_NODE_15_1	29456
XR23_NODE_21_1	27549
XR32_NODE_9_1	41115
PN14RK_k141_878187	81638
PN6RK_k141_1025105	27797
PN3RE_k141_427400	59808
PN1RC_k141_2817271_1	34887
J1055_NODE_18_1	35959
J1034_NODE_10_1	37872
J1044_NODE_2_1	54262
J1071_NODE_32_1	53016
PN12RG_k141_960561_1	43816
PN5RB_k141_1005819	112122
PN8RC_k141_1034246_1	38421
PN8RC_k141_12539	26164
PN8RC_k141_338315_1	43083
Q36_NODE_1_1	41360
Q36_NODE_7_fragment_2	302267
PN14RC_k141_1398164	9925
CH33_NODE_7_1	32384
PN1RD_k141_1431800	16099
CH20_NODE_15_1	62785
CH20_NODE_5_1	53802
PN8RL_k141_694277	33336
PN3JG_k141_158867_1	23601
K237_NODE_3_1_fragment_1	36834
PN1CK_k141_11676	29834
PN3LH_k141_1686425	28250
PN6RT_k141_2218575	45343
PN8RS_k141_554468	45661
R25_NODE_13_1	29780
PN11RG_k141_2838385	11551
PN13RT_k141_1061154	46325
PN1RF_k141_38581	37109
PN12RC_k141_376444	42481
PN1GJ_k141_39915_1	103087
PN13RH_k141_1905586	51149
PN13RJ_k141_1835523	52463
PN15RH_k141_891957	32083
PN16RE_k141_1662210	22717
PN1CJ_k141_807241	53886
PN1CK_k141_700760	56771
PN1RA_k141_2804624	39088
PN1RA_k141_3417507	56294
PN1RA_k141_4051643	51961
PN1RB_k141_3364305	59713
PN3CD_k141_866784	57368
PN8RJ_k141_656658	46484
PN1RB_k141_3931297	52417
PN13RS_k141_126310	48015
PN1RB_k141_1070936	48964
PN1CA_k141_2295678	23139
PN13RS_k141_88206	37002
PN4RC_k141_4011	46946
PN14RK_k141_60706	51814
PN10RC_k141_1161413	32289
PN10RI_k141_209480_1	38734
PN10RI_k141_607343	14214
PN10RJ_k141_1846815	30558
PN10RP_k141_1222834_1	24627
PN10RP_k141_1293823	7725
PN10RQ_k141_710463_1	32280
PN11RJ_k141_547740	23083
PN11RK_k141_1667102	18327
PN11RM_k141_2860593	24623
PN11RN_k141_2275767	25675
PN12RD_k141_707155	5827
PN12RI_k141_395895_1	29523
PN12RJ_k141_786116	34811
PN13RE_k141_53094	36183
PN13RK_k141_878450	48832
PN13RO_k141_256488	7156
PN13RR_k141_560603	12639
PN13RS_k141_126610	12189
PN14RD_k141_1220681_1	20424
PN14RH_k141_944528	24596
PN14RK_k141_158250	7787
PN14RM_k141_476364	31934
PN14RQ_k141_423381	31117
PN15RF_k141_912712	42296
PN15RL_k141_793992	5012
PN16RE_k141_1017324	26957
PN16RE_k141_1621610	27609
PN16RG_k141_93300	36711
PN16RJ_k141_380191	23630
PN16RS_k141_1659523	48881
PN16RV_k141_1738347	13800
PN1CD_k141_413143	36623
PN1RA_k141_949981	44883
PN1RE_k141_243572	8337
PN1RJ_k141_1365545	40100
PN1RL_k141_531620	19047
PN2RJ_k141_1341123_1	39665
PN2RJ_k141_176987	11717
PN3CB_k141_627556_1	53754
PN3CF_k141_1460578	12045
PN3CF_k141_853981	9693
PN3CG_k141_695679	42371
PN3DG_k141_196187	13788
PN3RB_k141_1956740	5107
PN3RD_k141_2111294	11314
PN3RE_k141_763793	27246
PN4RC_k141_1554269	8376
PN4RG_k141_1272905	12675
PN4RH_k141_1377044	41514
PN5CD_k141_477878_1	40238
PN5CF_k141_403695	27536
PN5CG_k141_45727_1	27219
PN5LA_k141_150628	26830
PN5LA_k141_17791_1	32520
PN5LC_k141_307399	41042
PN5LC_k141_572815	5262
PN5LE_k141_440414	20107
PN5LE_k141_467939	56820
PN5LF_k141_368497	34880
PN5LG_k141_41183	19936
PN5LH_k141_6258	37027
PN5RD_k141_379113	24328
PN5RE_k141_644353_1	71678
PN5RG_k141_197126	7025
PN5RG_k141_471363	25769
PN6RD_k141_1700429_1	23778
PN6RH_k141_407744_1	27806
PN6RJ_k141_35988	13838
PN6RK_k141_663562	35131
PN6RR_k141_744507	19757
PN7RC_k141_1273298	7909
PN7RC_k141_1456029	23417
PN7RH_k141_1134141	20892
PN7RH_k141_466075_1	29041
PN7RH_k141_974212_1	33549
PN7RI_k141_1637733	27173
PN7RK_k141_846899	23705
PN7RO_k141_1205222	32109
PN7RO_k141_1366122	22325
PN7RP_k141_491644	38158
PN7RU_k141_1667205	7149
PN8RE_k141_1538169	9502
PN8RL_k141_1781812	58964
PN8RL_k141_665936	33632
PN8RS_k141_342362	7192
PN9RK_k141_543439	19313
PN9RO_k141_1012217	12845
PN5CC_k141_452141	32802
PN5LF_k141_549613	205502
PN5RG_k141_103588_1	30604
PN2CA_k141_223210	25886
PN8RL_k141_1221661	9878
PN5CA_k141_706087	22872
PN14RR_k141_163120	20525
PN16RB_k141_1731670	27245
PN5LC_k141_165019	20670
PN5LF_k141_738298_1	18778
PN5LD_k141_416680_1	20242
PN3RE_k141_1545686	66425
PN15RA_k141_929001	36036
PN5LF_k141_6123_1	55508
PN10RH_k141_2294746_1	35383
PN1CG_k141_215196	13501
PN6RS_k141_1962491	132387
PN3RE_k141_1769228	124926
PN7RL_k141_227356_1	54369
PN7RQ_k141_618035_1	57089
PN3RD_k141_1916142	40065
PN9RI_k141_1200278	68838
PN8RC_k141_317980	56320
PN10RJ_k141_83573	57465
PN13RE_k141_836436_1	59685
PN5RA_k141_398066	25102
PN13RR_k141_402650	28191
PN16RH_k141_927452	33830
PN16RL_k141_20111	106014
PN16RN_k141_1518379	26227
PN16RN_k141_1650781	179741
PN3RE_k141_393759	33303
PN7RM_k141_1311586	25573
PN7RM_k141_1392143	50214
PN7RO_k141_1457629	53518
PN7RR_k141_415012	27483
PN13RD_k141_1009834	52773
PN16RJ_k141_695576	38967
PN5CA_k141_65113_1	40329
PN5LB_k141_501634_fragment_1	41498
PN5RE_k141_278905_1	32484
PN6RJ_k141_1028684	25229
PN7RN_k141_910353	25427
PN8RF_k141_952486_1	45526
PN14RB_k141_930109	75800
PN8RF_k141_1088236	32131
PN8RM_k141_111470	60678
PN10RT_k141_1431334	28381
PN14RI_k141_108071	26558
PN1CC_k141_883785	76301
PN1CL_k141_853614	24863
PN8RB_k141_1456514_1	21871
PN8RN_k141_1373432	13726
PN8RQ_k141_636416	12377
PN14RF_k141_460504	12867
PN10RI_k141_1871341	66627
PN13RT_k141_1452363	41822
PN15RA_k141_424645_fragment_1	40174
PN15RB_k141_1311440	28427
PN15RC_k141_1676775	5026
PN1CH_k141_1454546	28834
PN1DL_k141_219546	32253
PN1GC_k141_279046	252996
PN1GC_k141_37673	21680
PN1GE_k141_54156	49800
PN1GK_k141_115872	72280
PN1GK_k141_118380_1	27416
PN1RK_k141_835814	62526
PN2RJ_k141_2293991_1	30364
PN3CD_k141_1351820	24165
PN3CG_k141_96415_1	39742
PN3CH_k141_2449113	52039
PN3DG_k141_358062	35445
PN3GB_k141_151356	22383
PN3GB_k141_2273	28194
PN3GB_k141_7306	35224
PN3LE_k141_2009677	23672
